ID,COO,Household Sex,Poverty Threshold,Governerate,ChildAge,ChildSex,Unaccompanied and Separated Children,special protection needs,Children with disability
1,SYR,M,absolute,Irbid,6,M,,,
2,SYR,F,absolute,Irbid,10,M,,,
3,SYR,M,abject,Ajloun,10,M,,,
4,SYR,F,absolute,Irbid,12,M,,,
5,SYR,F,absolute,Irbid,1,M,,,
6,SYR,F,,Irbid,4,M,,,
7,SYR,F,abject,Irbid,11,F,,,
8,SYR,F,abject,Irbid,13,M,,,
9,SYR,F,abject,Irbid,16,M,,,
10,SYR,F,abject,Irbid,15,F,,,
11,SYR,M,,IRBID,7,F,,,
12,SYR,F,abject,Irbid,13,M,,,
13,SYR,M,,IRBID,2,M,,,
14,SYR,M,,IRBID,7,F,,,
15,SYR,F,absolute,Irbid,14,F,,,
16,SYR,M,,IRBID,0,M,,,
17,SYR,F,abject,Irbid,4,F,,,
18,SYR,M,,IRBID,6,M,,,
19,SYR,F,abject,Irbid,13,M,,,
20,SYR,F,absolute,Irbid,8,M,,,
21,SYR,M,absolute,IRBID,11,M,,,
22,SYR,F,absolute,Jerash,0,F,,,
23,SYR,M,absolute,Irbid,13,F,,,
24,SYR,M,absolute,IRBID,12,M,,,
25,SYR,M,absolute,IRBID,13,M,,,DS
26,SYR,M,abject,Irbid,4,F,,,
27,SYR,F,absolute,Irbid,5,F,,,
28,SYR,M,absolute,IRBID,9,M,,,
29,SYR,M,,IRBID,7,M,,,
30,SYR,M,abject,IRBID,10,M,,,
31,SYR,F,abject,Irbid,4,F,,,
32,SYR,M,abject,Amman,3,F,,,
33,SYR,F,abject,IRBID,5,M,,,
34,SYR,F,,Irbid,14,M,,,
35,SYR,M,abject,Amman,2,F,,,
36,SYR,F,,Irbid,17,F,,,
37,SYR,M,,Irbid,1,M,,,
38,SYR,M,absolute,IRBID,3,M,,,
39,SYR,F,,Jerash,6,M,,,
40,SYR,F,abject,Jerash,5,M,,,
41,SYR,M,,IRBID,12,F,,,
42,SYR,F,abject,Irbid,5,M,,,
43,SYR,M,absolute,Amman,5,F,,,
44,SYR,F,absolute,Irbid,6,F,,,
45,SYR,F,absolute,Irbid,10,M,,,
46,SYR,F,absolute,Irbid,5,M,,,
47,SYR,F,absolute,Irbid,16,F,,,
48,SYR,F,absolute,Jerash,3,F,,,
